Date,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_Volume,Volatility,MA_7,MA_30,Daily_Return,Sentiment_Score,Sentiment_Category,Price_Up
11/9/2017,308.6449890136719,329.4519958496094,307.0559997558594,320.8840026855469,893249984,0.06979467940537115,318.6328560965402,400.0820027669271,-0.06741069,0.19118914405010437,Neutral,FALSE
11/10/2017,320.6709899902344,324.7179870605469,294.5419922,299.2529907226562,885985984,0.100837738664452,318.6328560965402,400.0820027669271,-0.06741069,0.19685018518518518,Neutral,FALSE
11/11/2017,298.5859985351562,319.4530029296875,298.1919860839844,314.6809997558594,842300992,0.06756371329123198,318.6328560965402,400.0820027669271,0.05155507049719565,0.17183307984790874,Neutral,TRUE
11/12/2017,314.6900024414062,319.1530151367188,298.5130004882812,307.9079895019531,1613479936,0.06703305971963644,318.6328560965402,400.0820027669271,-0.021523417,0.1966567084078712,Neutral,FALSE
11/13/2017,307.0249938964844,328.4150085449219,307.0249938964844,316.7160034179688,1041889984,0.06753689241338773,318.6328560965402,400.0820027669271,0.02860599340167425,0.22577298507462687,High,TRUE
11/14/2017,316.7630004882812,340.177001953125,316.7630004882812,337.6310119628906,1069680000,0.0693478994382698,318.6328560965402,400.0820027669271,0.06603710680612607,0.22028057553956834,High,TRUE
11/15/2017,337.9639892578125,340.9119873046875,329.81298828125,333.3569946289062,722665984,0.03329463368780647,318.6328560965402,400.0820027669271,-0.012658841,0.23271134163208854,High,FALSE
11/16/2017,333.4429931640625,336.1589965820312,323.6059875488281,330.9240112304688,797254016,0.03793320704208631,320.067143031529,400.0820027669271,-0.007298432,0.21005876132930512,High,FALSE
11/17/2017,330.1669922,334.9639892578125,327.5230102539062,332.3940124511719,621732992,0.02238601997982552,324.8015747070312,400.0820027669271,0.004442111091417011,0.1945052297939778,Neutral,TRUE
11/18/2017,331.9800109863281,349.6159973144531,327.68701171875,347.6119995117188,649638976,0.0630846622858422,329.5060032435826,400.0820027669271,0.04578297589756497,0.2018023529411765,High,TRUE
11/19/2017,347.4010009765625,371.2909851074219,344.739990234375,354.385986328125,1181529984,0.07492111961916965,336.1457170758928,400.0820027669271,0.01948720650012503,0.2359432258064516,High,TRUE
11/20/2017,354.093994140625,372.1369934082031,353.2890014648438,366.7300109863281,807027008,0.05139473557854522,343.2905752999442,400.0820027669271,0.03483214668306278,0.20512019363762102,High,TRUE
11/21/2017,367.4429931640625,372.4700012207031,350.6929931640625,360.4010009765625,949912000,0.06042438283365595,346.5434308733259,400.0820027669271,-0.017257955,0.2286860110803324,High,FALSE
11/22/2017,360.31201171875,381.4200134277344,360.1470031738281,380.6520080566406,800819008,0.05588571662215124,353.2998613630022,400.0820027669271,0.0561902076442764,0.16803065573770493,Neutral,TRUE
11/23/2017,381.4389953613281,425.5480041503906,376.0880126953125,410.1659851074219,1845680000,0.1205853075362274,364.6201433454241,400.0820027669271,0.07753532472207425,0.20080844370860926,High,TRUE
